Crocosmia aurea
Lupinus texensis
Ratibida columnifera
Nothoscordum bivalve
Calyptocarpus vialis
Glandularia bipinnatifida
Triodanis perfoliata
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Castilleja indivisa
Eustoma exaltatum
Melampodium leucanthum
Argemone albiflora
Helianthus angustifolius
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Berlandiera lyrata
Justicia americana
Alternanthera philoxeroides
Froelichia floridana
Saururus cernuus
Malvastrum coromandelianum
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Solanum carolinense
Teucrium cubense
Liatris squarrosa
Chelone lyonii
Arisaema triphyllum
Artemisia tridentata
Moricandia arvensis
Chamaecrista fasciculata
Chamaelirium luteum
Crataegus succulenta
Cuscuta gronovii
Vincetoxicum nigrum
Cypripedium acaule
Cypripedium parviflorum
Dicentra cucullaria
Epifagus virginiana
Conoclinium coelestinum
Gaultheria procumbens
Gentiana andrewsii
Gentianopsis crinita
Geranium maculatum
Hypericum frondosum
Impatiens pallida
Kalmia angustifolia
Kalmia latifolia
Lewisia rediviva
Lilium grayi
Linum medium
Lobelia cardinalis
Menispermum canadense
Mitchella repens
Monarda media
Monarda fistulosa
Nymphaea odorata
Pedicularis canadensis
Phoradendron leucarpum
Plantago rugelii
Polygala lutea
Polygaloides paucifolia
Prunus americana
Rhus glabra
Rosa carolina
Sabatia angularis
Salix discolor
Sambucus canadensis
Scutellaria integrifolia
Sidalcea malviflora
Ipomoea cordatotriloba
Caesalpinia pulcherrima
Clematis crispa
Callianthemum anemonoides
Callianthemum angustifolium
Youngia japonica
Bougainvillea glabra
Dermatophyllum secundiflorum
Prunus caroliniana
Anemone berlandieri
Oenothera laciniata
Senecio ampullaceus
Salvia lyrata
Phlox pilosa
Phlox amplifolia
Phlox divaricata
Phlox glaberrima
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Sisyrinchium bellum
Cirsium horridulum
Lonicera sempervirens
Hymenopappus scabiosaeus
Mazus pumilus
Viola mandshurica
Verbena brasiliensis
Verbena halei
Sabatia campestris
Romneya coulteri
Commelina erecta
Neptunia plena
Indigofera miniata
Strophostyles helvola
Oenothera drummondii
Phalaenopsis sanderiana
Ruellia simplex
Leucophyllum frutescens
Tecoma stans
Ipomoea violacea
Nepeta nepetella
Duranta erecta
Zeuxine strateumatica
Balsamorhiza sagittata
Euryops pectinatus
Gerbera jamesonii
Oenothera fruticosa
Hydrangea involucrata
Penstemon digitalis
Ceanothus thyrsiflorus
Kaempferia rotunda
Begonia cucullata
Plectranthus fruticosus
Echium candicans
Limbarda crithmoides
Oenothera rosea
Symphyotrichum ericoides
Crassocephalum crepidioides
Cattleya trianae
Petunia integrifolia
Alstroemeria pelegrina
Vernonia arkansana
Eutrochium maculatum
Ipomoea pandurata
Eriophyllum lanatum
Spathoglottis plicata
Dendrobium kingianum
Erythronium grandiflorum
Ramonda serbica
Crinum asiaticum
Mertensia maritima
Hymenocallis littoralis
Garrya elliptica
Kalanchoe crenata
Camassia quamash
Dietes bicolor
Polemonium pulcherrimum
Magnolia Ã— soulangeana
Salvia yangii
Crossandra infundibuliformis
Dahlia Ã— pinnata
Freesia laxa
Dianella tasmanica
