Euphorbia verrucosa
Crocosmia aurea
Nothoscordum bivalve
Calyptocarpus vialis
Oxalis violacea
Geranium carolinianum
Rudbeckia amplexicaulis
Glandularia bipinnatifida
Triodanis perfoliata
Callirhoe involucrata
Ruellia caroliniensis
Mimosa strigillosa
Trachelospermum jasminoides
Castilleja indivisa
Eustoma exaltatum
Melampodium leucanthum
Sisyrinchium angustifolium
Argemone albiflora
Plectocephalus americanus
Eryngium leavenworthii
Ipomoea imperati
Zephyranthes drummondii
Erigeron philadelphicus
Opuntia aciculata
Hymenocallis liriosme
Lantana urticoides
Malvaviscus arboreus
Berlandiera lyrata
Hesperaloe parviflora
Justicia americana
Sagittaria platyphylla
Froelichia floridana
Malvastrum coromandelianum
Bacopa monnieri
Linum lewisii
Kosteletzkya virginica
Rhexia mariana
Proboscidea louisianica
Phyla nodiflora
Eucnide bartonioides
Teucrium cubense
Liatris squarrosa
Artemisia tridentata
Moricandia arvensis
Chamaecrista fasciculata
Chamaelirium luteum
Crataegus succulenta
Cypripedium acaule
Epifagus virginiana
Epigaea repens
Conoclinium coelestinum
Gelsemium sempervirens
Gentianopsis crinita
Hypericum frondosum
Impatiens pallida
Linum medium
Monarda media
Nymphaea odorata
Pedicularis canadensis
Phoradendron leucarpum
Polygala lutea
Polygaloides paucifolia
Sabatia angularis
Scutellaria integrifolia
Ipomoea cordatotriloba
Callianthemum angustifolium
Youngia japonica
Mirabilis nyctaginea
Dermatophyllum secundiflorum
Anemone berlandieri
Oenothera laciniata
Senecio ampullaceus
Phlox pilosa
Lithospermum incisum
Hypoxis hirsuta
Baptisia bracteata
Lindheimera texana
Cirsium horridulum
Hymenopappus scabiosaeus
Mazus pumilus
Verbena brasiliensis
Verbena halei
Neptunia plena
Indigofera miniata
Strophostyles helvola
